Ministerium/Behörde,Gegenstand,Aktenzeichen Gericht,interne Aktenzeichen,Datum Verhandlung
BMAS,Antrag abgelehnt (Informationen müssen nicht beschafft werden). Am 23.9.2016 Widerspruch eingelegt,,,
BMI,Konkretheit Auskunftsbegehren,VG Berlín VG 2 K 212/13,214-13002/7#8,
BMI,Deutsche Eisschnelllaufgesellschaft,BVerwG 7 C 30.15,214-13002/7#6,
BMI,Kostenfestsetzung,BVerwG 7C 6.15,214-1 3002/7#9,
BMI,Wíderspruchsgebühr 30 €,VG Berlín 2 K 42.15,214-1 3002/7# 15,
BMI,Verpflichtung zur Erörterung von IFG-Fragen,VG Berlín VG 2 K 85.14,214-13002/7#16,
BMI,Wíderspruchsgebühr €,VG Berlín 2 K 550.15,214-13002/7#18,
BMI,Zugang zu Notízen der Ausländerreferentenbesprechung,VG Berlín VG 2 K 82.16,214-13002/7#20,
BMZ,IFG-Auskunftserteilung,VG Köln 13 K 6862/16,,
BMVI,"Kosten 200€, zurückgezogen",,,
BMWi,"Kosten 60 €, zurückgezogen",,,
BMJV,VG München,Disziplinarverfügung,,
BMJV,VG Karlsruhe,Aufhebung von Stellungnahmen des Prasídíalrats eínes,,
BMJV,obersten Bundesgeríchts,1 K 2198/14,,
BMJV,VG Stuttgart 7 K 819/15,Auswahlentscheídung hinsichtlich einer Stelle als Richter/in,,
BMJV,"VG Berlín 2 K 534.15, BVerwG 7 C 21.16",IFG-Antrag,,
BMJV,VG Berlín 33 K 3.16,Überprüfung der Entscheídungen des Bundesverfassungsgerichts durch das BMJV,,
BMJV,VG Karlsruhe 1 K 666/16,Auswahlentscheidung hinsichtlich einer Stelle als Vorsitlzende/r Richter/ín,,
BMJV,VG München M 21 E 16.1424,Auswahlentscheidung hínsichtlich der Stelle einer Leiterin / eines Leiters einer Abteilung einer Geschaftsbereichsbefl.,,
BMJV,VG Berlin 2 K 257.16,IFG-Antrag,,
BMJV,VG Berlin 2 K 275.16,IFG-Antrag,,
BMJV,VG Hamburg 2 K 3189/16 und 2 E 3190/16,Begehren der Einleítung eines Díenstaufsíchtsverfahrens gegen einen Vorsítzenden Ríchter,,
Bundestag,Petitionsstreitsache,"VG Berlin VG 2 K 39.14. 
OVG 3 B 11.15",1306-14-067,
Bundestag,"Klage. wegen Informationszugangs nach
IFG (Einsicht in Petitionsakte)","VG Berlin VG 2 K 62.14
OVG 12 N 77.15",1305-14-1&3,
Bundestag,"Klage. wegen Informationszugangs nach
IFG (Einsicht in Petitionsakte)","VG Berlin VG 2 K511.15
OVG 12 11.1 54.15
(Beschwerdeverfahren)",1305-15-191,
Bundestag,Klage auf Entlassung der Bundesverteidigungsministerin u.a.,VG Berlin VG 33 K 270.15,1305-15-230,
Bundestag,Klage betreffend Entschädigung und Versorgung der Abgeordneten (Beihilfen),VG Berlin VG 5 K 382.15,1305-15-289,
Bundestag,Untätigkeitsklage auf Zugang nach IFG (Parlamentwatch e.V.),VG Berlin VG 2 K 52.16,1305-16-073,
Bundestag,"Untätigkeitsklage, Zugang zu Gutachten (MR: nach Auskunft der Bundestagsverwaltung handelt es sich um ein Gutachten zur Gülen-Bewegung https://sehrgutachten.de/bt/wd1/072-08-die-fethullah-guelen-bewegung-in-deutschland )",VG Berlin VG 2 K70.16 (inzw. rechtskräftig beendet,1305-16-079,
Bundestag,Klage auf Zugang nach IFG (Informationen Parteiengesetz / Parlamentwatch e.V.),VG Berlin VG 2 K69.16,1305.-16-080,
Bundestag,Petitionsstreitsache,"derzeit SG Berlin:
S.74 SV 14/16",1306-16-084,
Bundestag,Einblick in Petitionsakte,VG Berlin VG 2 K76.16,1305-16-090,
Bundestag,Zugang zu Prüfberichten der Innenrevision der Bundestagsverwaltung,"VG Berlin VG2 K 19.13
OVG 95 A 1.14",1305-2011-0007,
Bundestag,Petitionsstreitsache,"VG Berlin VG2 K 6.12
OVG 3 B 9.14
BVerwG 6 PKH 2.16",1305-2012-0002,
Bundestag,Petitionsstreitsache,"VG Berlin VG 2 K271.13
OVG 3 N 16.16",1305-2013-0006,
Bundestag,Parteienfinanzierung (Rentnerpartei),VG Berlin VG 2 K622.15,5040-15-298,
Bundestag,Parteienfinanzierung (NPD),VG Berlin VG 2 K64.16,5040-16-071,
Bundestag,Parteienfinanzierung (NPD),VG Berlin VG 2 K65.16,5040-16-072,
Bundestag,Parteienfinanzierung (FDP),"VG Berlin VG 2 K126.9
OVG 3 B 16.13
BVerwG & C 5.15",5040-2009-0004,
Bundestag,Parteienfinanzierung (NPD),"VG Berlin VG 2 K108.10
OVG 3 B 10.13",5040-2010-0002,
BMUB,Abberufung einer Sachverständigen,VG Karlsruhe 3 K 3239/15,,
BMUB,Atom- und Strahlenschutzrecht,VG Düsseldorf 7 K 6532/16,,
BMUB,Zugang zu Beratungsunterlagen,OVG Münster 8 A 483/16,,
BMUB,Herausgabe von Umweltinformationen,OVG Münster 8 A 2024/13,,
BMUB,Aufhebung der Gorleben-Veränderungssperren-VO,OVG Lüneburg 7 LC 80/15 u. 7 LC 81/15,,
BMUB,Umtausch/Ausgabeberechtigung von Feinstaubplaketten,OVG Berlin-BBG 11 N 59.16,,
BMVg,einmalige Entschädigung § 63 e SVG,VG Gelsenkirchen 1 K 3049/14,,
BMVg,einmalige Entschädigung § 63 e SVG,Bayerisches VG AN 11 K14.01200,,
BMVg,einmalige Entschädigung § 63 a SVG,OVG NRW 1 A 2359/14,,
BMVg,einmalige Entschädigung § 63 e SVG,VG Cottbus VG 5 K 34/16,,
BMVg,Wahlanfechtung Hauptpersonalrat,VG Köln 33 L 4924/16,,
BMVg,Stufenfestsetzung (Prof),VG München M 21 K 14.2572,,
BMVg,Beurteilung,VG Berlin 7 K 393.14,,
BMVg,Wechsel der Besoldungsgruppe,VG Karlsruhe 4 K 32/15,,
BMVg,Beurteilung,Bayerisches VG M 21 K 15.260,,
BMVg,Urlaubsübertragung,VG Köln 15 K 1574/15,,
BMVg,Beurteilung,VG Köln 15 K 2423/15,,
BMVg,Hinausschieben des Ruhestandes,VG Hamburg 21 K 3015/15,,
BMVg,Beurteilung,VG Köln 15 K 3686/15,,
BMVg,Beurteilung,VG Köln 15 K 5191/15,,
BMVg,Beurteilung,VG Köln 15 K 5262/15,,
BMVg,Beurteilung,VG Münster 5 K 2040/15,,
BMVg,Beurteilung,VG Berlin VG 28 K 416.15,,
BMVg,Beurteilung,VG Köln 15 K 7122/15,,
BMVg,Beurteilung,VG München M 21 K 16.2457,,
BMVg,Normenkontrolle,OVG Magdeburg 2 K 294/00,,
BMVg,Normenkontrolle,OVG Magdeburg 2 K 85/00,,
BMVg,Normenkontrolle,OVG Berlin-Brandenburg 11 A 8.05,,
BMVg,Normenkontrolle,OVG Berlin-Brandenburg 11 A 9.05,,
BMVg,Zuständigkeit für abwehrenden Brandschutz,VG München M 7 E 16.1534,,
BMVg,Zuständigkeit für abwehrenden Brandschutz,VG München M 7 K 16.1526,,
BMVg,Versetzung in den Ruhestand wegen Dienstunfähigkeit,VG Hannover 13 A 4598/08,,
BMVg,Einsatz-Weiterverwendungsgesetz,VG Bremen 6 K 215/09,,
BMVg,Einsatz-Weiterverwendungsgesetz,VG Kassel 7 K 1055/09.KS,,
BMVg,Fürsorgepflichtverletzung,VG Augsburg Au 2 K 11.483,,
BMVg,Einsatz-Weiterverwendungsgesetz,VG Freiburg 1 K 422/11,,
BMVg,Beschwerde gegen Streitwertfestsetzungsbeschluss,OVG Münster 1 E 215/16,,
BMVg,Laufbahnwechsel,BVerwG (Wehrdienstsenat) 1 WB 2.16,,
BMVg,Konkurrentenstreit,BVerwG (Wehrdienstsenat) 1 WB 3.16,,
BMVg,Beschwerde gegen Referenzgruppe,BVerwG (Wehrdienstsenat) 1 WB 5.16,,
BMVg,Versetzung,BVerwG (Wehrdienstsenat) 1 WB 10.16,,
BMVg,Versetzung,BVerwG (Wehrdienstsenat) 1 WB 11.16,,
BMVg,Versetzung,BVerwG (Wehrdienstsenat) 1 WB 12.16,,
BMVg,Laufbahnwechsel,BVerwG (Wehrdienstsenat) 1 WB 13.16,,
BMVg,Verwendungsentscheidung,BVerwG (Wehrdienstsenat) 1 WB 16.16,,
BMVg,Zuordnung Studentenjahrgang,BVerwG (Wehrdienstsenat) 1 WB 19.16,,
BMVg,Anwendung Sicherheitsüberprüfungsgesetz,BVerwG (Wehrdienstsenat) 1 WB 20.16,,
BMVg,Anwendung Sicherheitsüberprüfungsgesetz,BVerwG (Wehrdienstsenat) 1 WB 21.16,,
BMVg,Laufbahnwechsel,BVerwG (Wehrdienstsenat) 1 WB 22.16,,
BMVg,Laufbahnwechsel,BVerwG (Wehrdienstsenat) 1 WB 23.16,,
BMVg,Auskunftserteilung nach IFG,OVG NRW Münster 8 A 1578/15,,
BMVg,Kostenentscheidung nach IFG,VG Köln 13 K 5962/16,OKF,
BMVg,Fluglärm,VG Schwerin 7 A 157/14,,
BMVg,Sicherheitsüberprüfung,VG Köln 23 K 1622 / 16,,
BMVg,Sicherheitsüberprüfung,VG Köln 3 K 940 / 16,,
BMVg,Erteilung Statusausweis,VG Oldenburg 6 A 3997/15,,
BMVg,Verletzung NATO-Truppenstatut,VG Köln 5 K 5467/15,,
BMVg,Beteiligungsrechte Naturschutzvereinigung,VG Magdeburg 4 A 279/13,,
BMVg,Unterbindung der Nutzung der Airbaise Ramstein für Drohnenangriffe der US-Streitkräfte,OVG NRW 4 A 1361/15,,
BMVg,unentgeltliche Heilfürsorge,VG Potsdam 2 K 720/14,,
BMF,Klage zu Informationszugang nach IFG: Massenverfahren mit 106 gleichlautenden Klagen; die Verfahren ruhen derzeit,VG Berlin; Az. VG 2 K 108.16 ff.,,
BMF,Klage zu Informationszugang nach IFG: Massenverfahren mit 132 gleichlautenden Klagen; erstinstanzliches Verfahren läuft ,VG Berlin; Az. VG 2 K 628.15 ff. und VG 2 K 4.16 ff.,,
BMF,Klage zu Informationszugang nach IFG: Massenverfahren mit 290 gleichlautenden Klagen; die Verfahren ruhen derzeit ,VG Berlin; Az. VG 2 K 126.15 ff.,,
BMF,Klage zu Informationszugang nach IFG: Massenverfahren mit 11 gleichlautenden Klagen; erstinstanzliches Verfahren läuft ,G Berlin; Az. VG 2 K 294.16 ff,,
BMF,Klage zu Informationszugang nach IFG: Verfahren (VG Berlin; Az. VG 2 K 116.15); Prozesskostenhilfe-Verfahren läuft.,VG Berlin; Az. VG 2 K 116.15,,
BMF,Klage zu Informationszugang nach IFG: Verfahren (VG Berlin; Az. VG 2 K 507.15); erstinstanzliches Verfahren läuft. ,VG Berlin; Az. VG 2 K 507.15,,
BMF,Klage zu Informationszugang nach IFG: Verfahren (VG Berlin; Az. VG 2 K 101.16); erstinstanzliches Verfahren läuft. ,(VG Berlin; Az. VG 2 K 101.16,,
BMF,Verfahren (VG Berlin; Az. VG 26 K 21.15) im Zusammenhang mit Beihilferückforderungen; das Verfahren ruht derzeit. ,-,,
BMF,2 Verfahren (OVG Berlin-Brandenburg; Az. OVG 1 B 27.15 sowie VG Berlin; Az.  VG 4 K 153.14) im Zusammenhang mit der Zahlung von Unternehmensbeiträgen nach PostPersRG; Berufungsverfahren vor dem OVG läuft; das andere Verfahren ruht derzeit. ,OVG Berlin-Brandenburg; Az. OVG 1 B 27.15 sowie VG Berlin; Az. VG 4 K 153.14,,
BMF,Beiladung zu einem Verfahren (OVG NRW; Az. 11 A 704/15) im Zusammenhang mit Kostentragungslasten für Kampfmittelbeseitigung; Berufungsverfahren vor dem OVG läuft. ,OVG NRW; Az. 11 A 704/15,,
BMF,Verfahren (VG Berlin; Az. VG 27 K 5.15) im Zusammenhang mit Kirchenbaulastverpflichtungen; das Verfahren ruht derzeit. ,VG Berlin; Az. VG 27 K 5.15,,
BMF,Verfahren (VG Berlin; Az. VG 9 K 465.15) im Zusammenhang mit Ansprüchen aus Wiedergutmachungsdispositionsfonds; erstinstanzliches Verfahren läuft. ,VG Berlin; Az. VG 9 K 465.15,,
BMF,Verfahren (VG Berlin; Az. VG 27 K 486.15) im Zusammenhang mit Erstattung von Kosten vom Baumaßnahmen; Verfahren wurde ausgesetzt,VG Berlin; Az. VG 27 K 486.15,,
BMF,14 Verfahren mit Personalbezug,-,,
BMBF,Beamtenrechtliche Streitigkeit,2 K 1033/16,,
BMBF,Beamtenrechtliche Streitigkeit,28 K 128/16,,
BMBF,Beamtenrechtliche Streitigkeit,7 K 251/16,,
BMBF,Personalvertretungsrechtliche Streitigkeit,33 K 5802/15,,
BMBF,Zuwendungsrechtliche Streitigkeit,4 A 5726/00,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 2210/14,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 646/16,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 1729/16,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 4522/16,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 6898/16,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 3296/15,,
BMBF,Zuwendungsrechtliche Streitigkeit,4 A 666/16,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 46/16,,
BMBF,Zuwendungsrechtliche Streitigkeit,16 K 1929/16,,
BMEL,Akteneinsicht in die geschwärzten Stellen des Gutachtens Entwicklung und Kriterien der Bewertung der Ehrwürdigkeit von ehemaligenMitarbeiterinnen und Mitarbeitern des BMLlBMVEL und der Dienststellen seines Geschäftsbereichs im Hinblick auf die Zeit des Nationalsozialismus (Schlussbericht).,"VG Köln - 13 K 1541/11
OVG Münster - 8 A 2410113
BVerwG -BVerwG 7 C 24.15
BVerwG 6 C 40.16",,
BKamt,IFG,VG Berlin 2 K 190.12,,
BKamt,Vergahren nach UIG und IFG,BVerwG 7 C 2.12,,
BKamt,abgetrennter presserechtlicher Teil eines IFG-Verfahrens,BVerwG 6 C 5.16,,
BKamt,IFG,VG Berlin 2 K 179.13,,
BKamt,IFG,VG Berlin 2 K 74.14,,
BKamt,IFG,OVG Berlin-Brandenburg 12 B 5.16,,
BKamt,IFG,VG Berlin 2 K 86.15,,
BKamt,IFG,VG Berlin 2 K 553.15,,
BKamt,IFG,VG Berlin 2 K 74.16,,
AA,IFG,"VG Berlin, VG 2 K 70.14",,
AA,IFG,"OVG Berlin-Brandenburg, OVG 12 N 41.16",,
AA,IFG,"VG Berlin, VG 2 K 555.15",,
AA,IFG,"OVG Berlin-Brandenburg, OVG 2 N 54.16",,
AA,IFG,"VG Berlin, VG 2 K 25.16",,
AA,IFG,"VG Berlin, VG 2 K 2.16",,
AA,IFG,"VG Berlin, VG 2 K 83.16",,
AA,IFG,"VG Berlin, VG 2 K 27.16",,
AA,IFG,"VG Berlin, VG 2 K 307.16",,
BMFSFJ,Leistungen aus dem Fonds Sexueller Missbrauch,VG Berlin (u.a. VG 26 K 44.15 und 7 weitere Verfahren),,
BMFSFJ,Verfahren wegen sozialrechtlicher Leistungen,AG Schöneberg,,
BMFSFJ,Kündigungsschutzverfahren,ArbG Berlin,,
BMFSFJ,Familiensache,LG Stuttgart,,
BMFSFJ,Konkurrentenstreitverfahren bzgl. der Besetzung einer Führungsposition,VG Köln,,
BMFSFJ,Anrechnung hauptberuflicher Tätigkeiten,VG Berlin,,